Country Name,Country Code,Gini_1974,Gini_1975,Gini_1976,Gini_1977,Gini_1978,Gini_1979,Gini_1980,Gini_1981,Gini_1982,Gini_1983,Gini_1984,Gini_1985,Gini_1986,Gini_1987,Gini_1988,Gini_1989,Gini_1990,Gini_1991,Gini_1992,Gini_1993,Gini_1994,Gini_1995,Gini_1996,Gini_1997,Gini_1998,Gini_1999,Gini_2000,Gini_2001,Gini_2002,Gini_2003,Gini_2004,Gini_2005,Gini_2006,Gini_2007,Gini_2008,Gini_2009,Gini_2010,Gini_2011,Gini_2012,Gini_2013,Gini_2014,Gini_2015,Gini_2016,Gini_2017,Gini_2018,Gini_2019
Burundi,BDI,,,,,,,,,,,,,,,,,,,33.3,,,,,,42.3,,,,,,,,33.4,,,,,,,38.6,,,,,,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,47.2,,,,,,,,42.4,,,,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,42.1,,,,,,42.8,,,,,,,46.6,,,,,
Canada,CAN,,33.3,,,,,,32.4,,,,,,31.5,,,,31,,,31.3,,,31.6,33.2,,33.3,,,,33.7,,,33.8,,,33.6,,,33.8,,,,33.3,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,43.6,,,,,56.2,,,,,,,,,,,
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,43.3,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,56.2,,,57.2,,54.8,,56.4,,54.9,,55.5,,52.8,,,51.5,,,47.3,,,47,,46,,45.8,,44.4,,44.4,,
China,CHN,,,,,,,,,,,,,,,,,32.2,,,,,,35.2,,,38.7,,,42,,,40.9,,,43,,43.7,42.4,42.2,39.7,39.2,38.6,38.5,,,
Colombia,COL,,,,,,,,,,,,,,,,,,,51.5,,,,56.9,,,58.7,58.7,57.2,55.8,53.4,54.8,53.7,,,55.5,54.4,54.7,53.5,52.7,52.8,52.7,51.1,50.8,49.7,50.4,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,,,,,,,,,,45.3,,,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,42.1,,,,,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,,48.9,,,,,,,,
Costa Rica,CRI,,,,,,,,47.5,,,,,34.4,,,46.7,45.3,46.6,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,48,
Cote d'Ivoire,CIV,,,,,,,,,,,,45.5,38,40.5,36.9,,,,39.4,,,40.6,,,39,,,,41.3,,,,,,43.2,,,,,,,41.5,,,,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,32.4,32.3,32.5,32,32.1,31.1,30.9,30.4,,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,32.9,31.4,,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,20.7,26.6,,,25.8,,,,,,26.6,,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,,
Denmark,DNK,,,,,,,,,,,,,,26.2,,,,,24.7,,,23,,,,,23.8,,,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,45.1,44.1,,,,41.6,,
Dominican Republic,DOM,,,,,,,,,,,,,47.8,,,50.5,,,51.4,,,,47.4,48.9,,,51.5,50,49.7,52.1,52.1,50,52,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,53.4,,,,,58.6,56.4,,,53.4,53.9,53.1,52.2,53.3,49.7,48.4,48.7,45.9,46.1,46.9,45,46,45,44.7,45.4,
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,32,,,,,30.1,,,,32.8,,,,,31.8,,,,31.1,,30.2,,28.3,,,31.8,,31.5,,
El Salvador,SLV,,,,,,,,,,,,,,,,,,54,,,,49.9,51,,54.5,52.2,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,38,38.6,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4,,
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,60.5,,,,,,53.1,,,,,,,,,51.5,,,,,,,54.6,,,
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,44.6,,,,30,,,,,29.8,,,,,,33.2,,,,,35,,,,
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,40.4,,,,,36.7,,,,,,
Finland,FIN,,,,,,,,,,,,,,22.2,,,,22.9,,,,23.5,,,,,27.2,,,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,,
France,FRA,,,,,35.2,,,,,,36.9,,,,,32.2,,,,,32.3,,,,,,31.1,,,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,,
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,,,,,38,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,47.3,,,,,,,43.6,,,,,35.9,,,,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,37.1,40.7,41.3,40.1,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4,
Germany,DEU,,,,,,,,,,,,,,,,,,29.2,,,29.2,28.9,,,28.3,,28.8,30.3,29.9,30,30.4,32.1,31.3,31.3,31.1,30.5,30.2,30.5,,31.1,,31.7,31.9,,,
Ghana,GHA,,,,,,,,,,,,,,35.3,36,,,38.4,,,,,,,40.1,,,,,,,42.8,,,,,,,42.4,,,,43.5,,,
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,37,,,,,34.2,,,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36,35,34.4,,
Guatemala,GTM,,,,,,,,,,,,,58.3,,,59.6,,,,,,,,,,,54.2,,,,,,54.6,,,,,,,,48.3,,,,,
Guinea,GIN,,,,,,,,,,,,,,,,,,46.8,,,46.1,,,,,,,,43,,,,,39.4,,,,,33.7,,,,,,,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,43.6,,,,,,,,,35.6,,,,,,,,50.7,,,,,,,,,
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,
Honduras,HND,,,,,,,,,,,,,,,,59.5,57.4,51.9,51.8,53.5,55,55.5,55.7,52.7,57.4,55.4,,55.6,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,56.2,56.1,52.6,50.4,49.6,51.1,50.5,52.1,
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,,
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,,,,
India,IND,,,,,,,,,,32.1,,,,32.6,,,,,,31.7,,,,,,,,,,,34.4,,,,,35.4,,35.7,,,,,,,,
Indonesia,IDN,,,,,,,,,,,32.4,,,30.6,,,31.2,,,32,,,34.5,,31.1,31.1,28.6,29,31.7,31.9,32.7,33,34.3,35.7,35.2,35.1,36.4,39.7,39.7,40,39.4,39.7,38.6,38.1,37.8,
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,47.4,,,,43.6,,,,43,,,,44.1,,,,,,,43.6,44.8,,,42.1,,,,37.4,38.8,39.5,40,40.8,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,29.5,,,,,,,
Ireland,IRL,,,,,,,,,,,,,,35.5,,,,,,,36.9,37,35.6,,,,33,,,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,,,
Israel,ISR,,,,,,36.3,,,,,,,36.5,,,,,,35.5,,,,,38.1,,,,38.9,,,,41.8,,41.1,,,42.5,,41.3,,39.8,,39,,,
Italy,ITA,,,,,,,,,,,,,32.5,34.5,,32.6,,31.5,,35.5,,35.2,,,36.7,,35.3,,,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,,
Jamaica,JAM,,,,,,,,,,,,,,,43.2,,41.1,,,35.7,,,40.4,,,44.1,,,48.3,,45.5,,,,,,,,,,,,,,,
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,,32.1,,,32.9,,,,,,
Jordan,JOR,,,,,,,,,,,,,36.1,,,,,,43.4,,,,,36.4,,,,,37,,,,33.9,,32.6,,33.7,,,,,,,,,
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,36,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,27.5,,
Kenya,KEN,,,,,,,,,,,,,,,,,,,57.5,,43.1,,,45,,,,,,,,46.5,,,,,,,,,,40.8,,,,
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,32.3,,32,,31.6,,,,,,,
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,31.2,30.3,,,31.8,33.3,27.8,29,26.3,27.3,26.5,26.7,29,,
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,27.3,27.7,
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,34.3,,,,,34.9,,,,,32.6,,,,,35.4,,,,,36.4,,,,,,,
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,39,35.6,37.5,37.2,36,35,35.8,35.2,35.5,35.1,34.2,34.3,35.6,,
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,,,,
Lesotho,LSO,,,,,,,,,,,,,56,,,,,,,,63.2,,,,,,,,51.6,,,,,,,,,,,,,,,44.9,,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,,33.2,,35.3,,,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,,
Luxembourg,LUX,,,,,,,,,,,,26.7,,,,,,26.8,,,26.9,,,30.2,,,30.4,,,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32,31.2,33.8,33,34.9,,
Madagascar,MDG,,,,,,,46.8,,,,,,,,,,,,,45.3,,,,39.5,,38.6,,47.4,,,,39.9,,,,,42.4,,42.6,,,,,,,
Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,39.9,,,,,,45.5,,,,,,44.7,,,
Malaysia,MYS,,,,,,,,,,,48.6,,,47,,46.2,,,47.7,,,48.5,,49.1,,,,,,,46.1,,,46.1,45.5,,,43.9,,41.3,,41,,,,
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,,,,,,38.4,,,,,,,31.3,,,
Mali,MLI,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,39.9,,,,,38.9,,,33,,,,,,,,,,
Malta,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,29.1,29.2,,
Mauritania,MRT,,,,,,,,,,,,,,43.9,,,,,,50.1,,37.7,,,,,39,,,,40.2,,,,35.7,,,,,,32.6,,,,,
Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,38.5,,,,,36.8,,
Mexico,MEX,,,,,,,,,,,,,,,,54.3,,,53.7,,54.3,,54.8,,53.4,,52.6,,50.1,,50,50.1,48.9,,49.9,,47.2,,48.7,,48.7,,46.3,,45.4,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,40.1,,,,,,
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3,25.9,25.7,
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,33.2,,,30.3,,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32,,32.3,,32.7,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,39,38.8,39,,,,
Morocco,MAR,,,,,,,,,,,39.2,,,,,,39.2,,,,,,,,39.5,,40.6,,,,,,40.7,,,,,,,39.5,,,,,,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,53.6,,,,,,47,,,,,,45.6,,,,,,54,,,,,
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,30.7,,
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,61,,,,,,59.1,,,,
Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,,,43.8,,,,,,,32.8,,,,,,,,,
Netherlands,NLD,,,,,,,,,,28.4,,,,26.8,,,31.1,,,30.4,,,,,,28.1,,,,,29.8,29,30,29.6,29.3,27.9,27.8,27.8,27.6,28.1,28.6,28.2,28.2,28.5,,
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,57.4,,,,,54.4,,,52.9,,,,48.8,,,,43.9,,,,,46.2,,,,,
Niger,NER,,,,,,,,,,,,,,,,,,,36.1,,41.5,,,,,,,,,,,44.4,,37.3,,,,31.5,,,34.3,,,,,
Nigeria,NGA,,,,,,,,,,,,38.7,,,,,,,45,,,,51.9,,,,,,,40.1,,,,,,43,,,,,,,,,35.1,
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,40.2,39.4,38.1,36.2,35.2,35.6,34.5,34.2,,
Norway,NOR,,,,,,26.9,,,,,,,24.6,,,,,25.2,,,,26,,,,,27.4,,,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27,,
Pakistan,PAK,,,,,,,,,,,,,,33.3,,,33.2,,,,,,28.7,,33.1,,,30.4,,,32.5,32.7,,31.6,,,29.8,30.9,,30.7,,33.5,,,,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,,,,,,48.7,,,,,,,,,,58.9,,58.2,,,,57.8,,58.2,57.5,56.5,56.8,56.9,56.2,55.8,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,49.2,
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,45.8,,,,,,,,,,,,,41.9,,,,,,,,,,
Paraguay,PRY,,,,,,,,,,,,,,,,,40.8,,,,,58.2,,54.9,,54.6,,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.8,46.2,
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,53.7,56.1,56.3,49.1,51.3,53.6,53.1,49.9,50.4,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.2,43.4,43.6,43.3,42.8,
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,,,46.6,,,47.2,,,46.3,,,46.5,,,44.4,,,,
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,35.8,34.7,34,33.5,33.4,33.2,33.2,33,33.1,32.8,31.8,31.2,29.7,,
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,38.9,38.5,38.1,36.8,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,35.2,33.8,,
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,34.4,36,,
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,48.4,,,46.1,38.4,38.1,37.4,37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,36.8,37.2,37.5,
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,52,,,,,47.2,,,45.1,,,43.7,,,
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,42,,,,,38.7,,,,,,
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,,30.8,,,,,,,56.3,,
Senegal,SEN,,,,,,,,,,,,,,,,,,54.1,,,41.4,,,,,,,41.2,,,,39.2,,,,,,40.3,,,,,,,,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,39.5,40.5,40.5,38.8,36.2,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,34,,,,,,,35.7,
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,25.2,,,
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,24.8,24.2,,
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,,37.1,,,,,,
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,59.3,,,60.7,,,,57.8,,,,,64.8,,,63,,63.4,,,,63,,,,,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,,,,,,,,,,
Spain,ESP,,,,,,,34.5,,,,,34.4,,,,,32,,,,,36.7,,,,,34.3,,,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,,
Sri Lanka,LKA,,,,,,,,,,,,32.5,,,,,32.4,,,,,35.4,,,,,,,41,,,,40.3,,,36.4,,,39.2,,,,39.8,,,
St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,51.2,,,
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,34.2,,,,,
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,,24.3,,,,,,22.9,,,,,,23.1,,,,,24.9,,,25.2,,,,,27.2,,,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,29.6,28.8,,
Switzerland,CHE,,,,,,,,,36,,,,,,,,,,33.9,,,,,,,,33.4,,31.7,,,,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,33,32.7,,
Syrian Arab Republic,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,32.7,33.6,,,32.2,,30.8,,,,,,34,,,,
Tanzania,TZA,,,,,,,,,,,,,,,,,,35.3,,,,,,,,,37.3,,,,,,,40.3,,,,37.8,,,,,,40.5,,
Thailand,THA,,,,,,,,45.2,,,,,,,43.8,,45.3,,47.9,,43.5,,42.9,,41.5,43.1,42.8,,41.9,,42.5,,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.9,36.5,36.4,
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,27.8,,,,,,,28.7,,,,,
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,46,,,,43.1,,,,
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,,,,,,,,37.5,,,,,,37.6,,,,
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,42.6,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,,,,,,,,,,,,43.4,,,,,40.2,,,,,41.7,,,,,40.8,,,,,37.7,,,,,35.8,,,,,32.8,,,,
Turkey,TUR,,,,,,,,,,,,,,43.5,,,,,,,41.3,,,,,,,,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9,41.4,41.9,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,,,,,,,
Uganda,UGA,,,,,,,,,,,,,,,,44.4,,,41.4,,,,39,,,43,,,45.2,,,42.9,,,,44.2,,,41,,,,42.8,,,
Ukraine,UKR,,,,,,,,,,,,,,,,,,,29.7,28.9,,39.3,35.2,,,,,,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,26,26.1,
United Kingdom,GBR,30,,,,,28.4,,,,,,,31.9,,,,,35.9,,,36.1,36.3,,,,37,,,,,36,34.3,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34,33.2,34.8,,,
